Company_Code,Company_Name,Market_Type,Security_Code,Sector,Market_Cap,Last_Price,PE,DY,ROE
STELLA,STELLA HOLDINGS BERHAD,MAIN,5006,Construction,67.67m,1.01,-,2.48,-32.22
STRAITS,STRAITS ENERGY RESOURCES BERHAD,ACE,0080,Transportation & Logistics Services,113.06m,0.12,22.22,0.00,3.09
SUBUR,SUBUR TIASA HOLDINGS BERHAD,MAIN,6904,Wood & Wood Products,173.47m,0.83,-,0.00,-0.10
SUCCESS,SUCCESS TRANSFORMER CORPORATION BERHAD,MAIN,7207,"Industrial Materials, Components & Equipment",176.65m,0.70,8.93,2.57,4.96
SUNCON,SUNWAY CONSTRUCTION GROUP BERHAD,MAIN,5263,Construction,2.482b,1.92,19.22,2.86,16.38
SUNMOW,SUNMOW HOLDING BERHAD,LEAP,03050,Construction,257.33m,1.10,-,1.36,-
SUNREIT,SUNWAY REAL ESTATE INVESTMENT TRUST,MAIN,5176,Real Estate Investment Trusts,5.069b,1.48,16.28,6.23,6.20
SUNSURIA,SUNSURIA BERHAD,MAIN,3743,Property,461.40m,0.52,29.26,0.00,1.49
SUNVIEW,SUNVIEW GROUP BERHAD,ACE,0262,Industrial Services,346.32m,0.74,26.24,0.00,12.26
SUNWAY,SUNWAY BERHAD,MAIN,5211,Diversified Industrials,9.849b,1.97,14.94,2.79,6.13
SUNZEN,SUNZEN BIOTECH BERHAD,ACE,0148,Agricultural Products,154.97m,0.22,37.72,0.00,3.17
SUPERLN,SUPERLON HOLDINGS BERHAD,MAIN,7235,Building Materials,107.20m,0.67,28.88,1.19,2.51
SUPERMX,SUPERMAX CORPORATION BERHAD,MAIN,7106,Health Care Equipment & Services,2.231b,0.82,-,4.27,-3.10
SUPREME,SUPREME CONSOLIDATED RESOURCES BERHAD,LEAP,03018,Consumer Services,80.40m,0.67,-,4.36,-
SURIA,SURIA CAPITAL HOLDINGS BERHAD,MAIN,6521,Transportation & Logistics Services,529.11m,1.53,8.61,2.61,5.15
SWIFT,SWIFT HAULAGE BERHAD,MAIN,5303,Transportation & Logistics Services,484.95m,0.55,11.33,3.67,6.35
SWKPLNT,SARAWAK PLANTATION BERHAD,MAIN,5135,Plantation,588.00m,2.10,11.31,7.14,7.14
SWSCAP,SWS CAPITAL BERHAD,MAIN,7186,Household Goods,92.15m,0.34,304.55,0.00,0.21
SYCAL,SYCAL VENTURES BERHAD,MAIN,9717,Construction,77.02m,0.19,47.44,0.00,0.58
SYGROUP,SHIN YANG GROUP BERHAD,MAIN,5173,Transportation & Logistics Services,774.00m,0.65,4.18,1.94,14.42
SYMLIFE,SYMPHONY LIFE BERHAD,MAIN,1538,Property,247.17m,0.35,-,0.00,-6.97
SYNERGY,SYNERGY HOUSE BERHAD,ACE,0279,Household Goods,215.00m,0.43,-,0.00,-
SYSTECH,SYSTECH BHD,ACE,0050,Software,168.64m,0.49,-,0.00,-21.64
T7GLOBAL,T7 GLOBAL BERHAD,MAIN,7228,"Energy Infrastructure, Equipment & Services",345.37m,0.46,13.50,0.00,8.22
TAANN,TA ANN HOLDINGS BERHAD,MAIN,5012,Plantation,1.477b,3.32,7.36,12.05,11.16
TAFI,TAFI INDUSTRIES BERHAD,MAIN,7211,Household Goods,204.89m,0.54,26.34,0.00,9.76
TAKAFUL,SYARIKAT TAKAFUL MALAYSIA KELUARGA BERHAD,MAIN,6139,Insurance,2.964b,3.54,8.53,3.81,21.29
TALAMT,TALAM TRANSFORM BERHAD,MAIN,2259,Property,107.38m,0.03,-,0.00,-4.50
TALIWRK,TALIWORKS CORPORATION BERHAD,MAIN,8524,"Gas, Water & Multi-utilities",1.603b,0.80,28.91,8.30,7.47
TAMBUN,TAMBUN INDAH LAND BERHAD,MAIN,5191,Property,384.40m,0.88,8.30,6.40,6.31
TANCO,TANCO HOLDINGS BERHAD,MAIN,2429,Property,1.103b,0.56,55.50,0.00,7.52
TAS,TAS OFFSHORE BERHAD,MAIN,5149,Transportation Equipment,65.70m,0.37,4.30,2.74,15.96
TASCO,TASCO BERHAD,MAIN,5140,Transportation & Logistics Services,640.00m,0.80,7.94,4.38,13.79
TASHIN,TASHIN HOLDINGS BERHAD,ACE,0211,Metals,136.11m,0.39,-,5.13,-0.25
TAWIN,TA WIN HOLDINGS BERHAD,MAIN,7097,Metals,137.41m,0.04,-,0.00,-14.86
